Event,Date,ADDR_STATE,% Sales,% Ticket Sold
Raiders at Jets,9/7/14,NY,47%,45%
Raiders at Jets,9/7/14,NJ,28%,31%
Raiders at Jets,9/7/14,CT,5%,5%
Raiders at Jets,9/7/14,PA,4%,4%
Raiders at Jets,9/7/14,CA,3%,3%
Bears at Jets,9/22/14,NY,43%,43%
Bears at Jets,9/22/14,NJ,25%,28%
Bears at Jets,9/22/14,IL,9%,7%
Bears at Jets,9/22/14,CT,5%,4%
Bears at Jets,9/22/14,CA,2%,2%
Lions at Jets,9/28/14,NY,49%,49%
Lions at Jets,9/28/14,NJ,25%,28%
Lions at Jets,9/28/14,CT,5%,4%
Lions at Jets,9/28/14,MI,3%,3%
Lions at Jets,9/28/14,PA,2%,2%
Broncos at Jets,10/12/14,NY,44%,45%
Broncos at Jets,10/12/14,NJ,23%,24%
Broncos at Jets,10/12/14,CT,5%,5%
Broncos at Jets,10/12/14,PA,4%,3%
Broncos at Jets,10/12/14,QC,3%,3%
Bills at Jets,10/26/14,NY,55%,56%
Bills at Jets,10/26/14,NJ,23%,23%
Bills at Jets,10/26/14,CT,5%,5%
Bills at Jets,10/26/14,PA,2%,2%
Bills at Jets,10/26/14,CA,1%,1%
Steelers at Jets,11/09/14,NY,39%,40%
Steelers at Jets,11/09/14,NJ,28%,30%
Steelers at Jets,11/09/14,CT,8%,7%
Steelers at Jets,11/09/14,PA,8%,9%
Steelers at Jets,11/09/14,CA,2%,2%
Miami at Jets,12/01/14,NY,37%,38%
Miami at Jets,12/01/14,NJ,35%,38%
Miami at Jets,12/01/14,PA,5%,5%
Miami at Jets,12/01/14,CT,5%,5%
Miami at Jets,12/01/14,FL,4%,3%
Patriots at Jets,12/21/14,NY,38%,38%
Patriots at Jets,12/21/14,NJ,24%,23%
Patriots at Jets,12/21/14,CT,9%,9%
Patriots at Jets,12/21/14,MA,7%,8%
Patriots at Jets,12/21/14,PA,4%,3%